year,office,election_g,fe_election
1984,PRESIDENT,1001984,-.5166700450231928
1980,PRESIDENT,1001980,-.5212437653056743
1988,PRESIDENT,1001988,-.3782998466507074
1992,PRESIDENT,1001992,.1673899943705061
2004,PRESIDENT,1002004,.012087252425959
2000,PRESIDENT,1002000,-.2719560508296084
1976,PRESIDENT,1001976,-.5886168430124042
1996,PRESIDENT,1001996,.0893977638524907
1960,PRESIDENT,1001960,-.7692448804432547
1956,PRESIDENT,1001956,-.8616948828878225
2012,PRESIDENT,1002012,-.0128574061836415
2008,PRESIDENT,1002008,.4121484139823209
1972,PRESIDENT,1001972,-.9738801414067398
1964,PRESIDENT,1001964,.4048963146806296
1952,PRESIDENT,1001952,-.9501447285073225
1968,PRESIDENT,1001968,-.7293320953225566
2016,PRESIDENT,1002016,.7353576327912082
2020,PRESIDENT,1002020,.4797147448336373
